#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         437     2.15515     2.19363  0.00690281
         438      2.3434     2.19397  0.00689551
         439     2.21046     2.19401  0.00687991
         440     2.17014     2.19396  0.00686449
         441     2.16196     2.19388   0.0068493
         442     2.23926     2.19399  0.00683458
         443      2.3145     2.19426  0.00682456
         444     2.05663     2.19395  0.00681623
         445     2.51829     2.19468  0.00683977
         446     1.94261     2.19411  0.00684774
         447     2.44732     2.19468  0.00685581
         448     2.28962     2.19489  0.00684378
         449     2.13234     2.19475  0.00682996
         450     2.05751     2.19445  0.00682159
         451     2.23837     2.19454  0.00680716
         452     2.09679     2.19433  0.00679553
         453     1.99283     2.19388  0.00679507
         454     2.04105     2.19354  0.00678844
         455     2.00377     2.19313  0.00678632
         456     2.25726     2.19327  0.00677289
         457     2.34661      2.1936  0.00676638
         458     2.17474     2.19356  0.00675173
         459     2.39236       2.194   0.0067509
         460     2.20696     2.19402  0.00673628
         461     2.10483     2.19383  0.00672445
         462     2.23203     2.19391   0.0067104
         463     2.32006     2.19419  0.00670144
         464      1.9152     2.19358  0.00671391
         465     2.09286     2.19337  0.00670297
         466     2.24285     2.19347  0.00668942
         467     2.31602     2.19374  0.00668024
         468     2.20635     2.19376  0.00666602
         469     2.14037     2.19365  0.00665278
         470     2.19425     2.19365  0.00663863
         471      2.2133     2.19369  0.00662466
         472     2.23745     2.19379  0.00661128
         473     2.17797     2.19375  0.00659739
         474     2.32875     2.19404  0.00658961
         475     2.29736     2.19425  0.00657933
         476     2.38435     2.19465  0.00657761
         477     2.20628     2.19468  0.00656387
         478     2.20622      2.1947  0.00655018
         479      2.3384       2.195  0.00654337
         480     2.13535     2.19488  0.00653092
         481     2.50634     2.19553  0.00654937
         482     2.27971      2.1957  0.00653811
         483     2.22317     2.19576  0.00652482
         484     2.02882     2.19541  0.00652045
         485     2.31832     2.19567  0.00651193
         486     2.27207     2.19582  0.00650042
         487     1.88086     2.19518  0.00651917
         488      2.2443     2.19528  0.00650659
         489     2.11166     2.19511  0.00649553
         490     2.32628     2.19537  0.00648779
         491     1.91033     2.19479  0.00650049
         492     2.15665     2.19472  0.00648774
         493     2.20353     2.19473  0.00647461
         494     2.09201     2.19453  0.00646484
         495     2.37937      2.1949  0.00646256
         496     2.12757     2.19476  0.00645095
         497     2.04756     2.19447  0.00644477
         498     2.51062      2.1951  0.00646302
         499     2.04075     2.19479  0.00645747
         500     1.94029     2.19428  0.00646458
